# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.343761e+00	6.757793e-01	6.679814e-01	-3.823761e-02	5.537788e-01	-5.920164e-01	5.728976e-01	3.898995e-03	-2.191709e-03	-2.284541e-02	-1.361441e-02	-9.230993e-03
2             	1.530144e+00	7.724485e-01	7.576955e-01	-5.449401e-02	6.272645e-01	-6.817585e-01	6.545115e-01	7.376510e-03	-3.529159e-03	-3.237730e-02	-1.971781e-02	-1.265949e-02
3             	1.333058e+00	6.734933e-01	6.595645e-01	-4.031822e-02	5.509968e-01	-5.913150e-01	5.711559e-01	6.964385e-03	-1.584082e-03	-2.963910e-02	-1.640363e-02	-1.323547e-02
4             	1.082260e+00	5.452671e-01	5.369932e-01	-2.832345e-02	4.479946e-01	-4.763181e-01	4.621564e-01	4.136960e-03	1.573073e-03	-2.103249e-02	-8.943173e-03	-1.208932e-02
5             	8.785204e-01	4.397065e-01	4.388139e-01	-1.891569e-02	3.624577e-01	-3.813734e-01	3.719155e-01	4.463062e-04	4.405648e-03	-1.187925e-02	-1.533974e-03	-1.034527e-02
6             	7.266537e-01	3.624274e-01	3.642264e-01	-5.724094e-03	3.019204e-01	-3.076445e-01	3.047824e-01	-8.995006e-04	4.477778e-03	-9.071290e-03	-5.786703e-05	-9.013423e-03
7             	6.212003e-01	3.099107e-01	3.112896e-01	5.596310e-03	2.609894e-01	-2.553931e-01	2.581913e-01	-6.894323e-04	2.602024e-03	-9.872631e-03	-2.334291e-03	-7.538340e-03
8             	5.526334e-01	2.769688e-01	2.756646e-01	1.176376e-02	2.335818e-01	-2.218180e-01	2.276999e-01	6.520941e-04	-5.855764e-04	-1.356996e-02	-7.370558e-03	-6.199405e-03
9             	5.094159e-01	2.575707e-01	2.518451e-01	1.436637e-02	2.153665e-01	-2.010001e-01	2.081833e-01	2.862810e-03	-4.138061e-03	-1.906183e-02	-1.366898e-02	-5.392855e-03
10            	4.814092e-01	2.454008e-01	2.360084e-01	1.634852e-02	2.030794e-01	-1.867308e-01	1.949051e-01	4.696231e-03	-6.966401e-03	-2.314553e-02	-1.853917e-02	-4.606363e-03
11            	4.625212e-01	2.374052e-01	2.251160e-01	1.940057e-02	1.953186e-01	-1.759181e-01	1.856183e-01	6.144643e-03	-8.619471e-03	-2.558200e-02	-2.141047e-02	-4.171531e-03
12            	4.498439e-01	2.313580e-01	2.184859e-01	2.475110e-02	1.922658e-01	-1.675147e-01	1.798903e-01	6.436022e-03	-8.814147e-03	-2.529488e-02	-2.146159e-02	-3.833295e-03
13            	4.421213e-01	2.272011e-01	2.149202e-01	3.122853e-02	1.925209e-01	-1.612923e-01	1.769066e-01	6.140475e-03	-8.385994e-03	-2.407905e-02	-2.042552e-02	-3.653533e-03
14            	4.381483e-01	2.247948e-01	2.133535e-01	3.732876e-02	1.951294e-01	-1.578006e-01	1.764650e-01	5.720684e-03	-7.948296e-03	-2.300240e-02	-1.944950e-02	-3.552905e-03
15            	4.353947e-01	2.232750e-01	2.121197e-01	4.381137e-02	1.987759e-01	-1.549645e-01	1.768702e-01	5.577625e-03	-7.720009e-03	-2.263236e-02	-1.903619e-02	-3.596169e-03
16            	4.330363e-01	2.221543e-01	2.108821e-01	4.965935e-02	2.022221e-01	-1.525628e-01	1.773925e-01	5.636117e-03	-8.130194e-03	-2.310048e-02	-1.968043e-02	-3.420047e-03
17            	4.312654e-01	2.214148e-01	2.098506e-01	5.416780e-02	2.048312e-01	-1.506634e-01	1.777473e-01	5.782103e-03	-9.004787e-03	-2.376470e-02	-2.088714e-02	-2.877563e-03
18            	4.296731e-01	2.205425e-01	2.091306e-01	5.667269e-02	2.061401e-01	-1.494674e-01	1.778037e-01	5.705985e-03	-9.458477e-03	-2.364543e-02	-2.128119e-02	-2.364238e-03
19            	4.277975e-01	2.191743e-01	2.086233e-01	5.686383e-02	2.058913e-01	-1.490275e-01	1.774594e-01	5.275485e-03	-9.050140e-03	-2.242636e-02	-2.026332e-02	-2.163041e-03
20            	4.263899e-01	2.174979e-01	2.088920e-01	5.566288e-02	2.049441e-01	-1.492813e-01	1.771127e-01	4.302943e-03	-7.741440e-03	-1.938355e-02	-1.743321e-02	-1.950333e-03
21            	4.249458e-01	2.158188e-01	2.091270e-01	5.409416e-02	2.037184e-01	-1.496243e-01	1.766714e-01	3.345906e-03	-5.677413e-03	-1.552971e-02	-1.344227e-02	-2.087444e-03
22            	4.235529e-01	2.142851e-01	2.092678e-01	5.296483e-02	2.022834e-01	-1.493186e-01	1.758010e-01	2.508618e-03	-3.272078e-03	-1.146524e-02	-9.004699e-03	-2.460542e-03
23            	4.219229e-01	2.128213e-01	2.091016e-01	5.245474e-02	2.004853e-01	-1.480306e-01	1.742580e-01	1.859817e-03	-1.088514e-03	-8.183290e-03	-5.180159e-03	-3.003131e-03
24            	4.203854e-01	2.115713e-01	2.088141e-01	5.237353e-02	1.983727e-01	-1.459992e-01	1.721860e-01	1.378630e-03	5.210733e-04	-5.885846e-03	-2.421850e-03	-3.463996e-03
25            	4.190769e-01	2.106591e-01	2.084179e-01	5.307710e-02	1.962978e-01	-1.432207e-01	1.697592e-01	1.120585e-03	1.456774e-03	-4.794240e-03	-9.403459e-04	-3.853895e-03
26            	4.180615e-01	2.103153e-01	2.077462e-01	5.428992e-02	1.948191e-01	-1.405292e-01	1.676742e-01	1.284531e-03	1.710965e-03	-5.367540e-03	-9.728055e-04	-4.394735e-03
27            	4.170319e-01	2.100715e-01	2.069603e-01	5.616245e-02	1.939264e-01	-1.377640e-01	1.658452e-01	1.555601e-03	1.398166e-03	-6.930075e-03	-2.066871e-03	-4.863204e-03
28            	4.156974e-01	2.095232e-01	2.061743e-01	5.824807e-02	1.932458e-01	-1.349977e-01	1.641217e-01	1.674452e-03	8.963577e-04	-8.634052e-03	-3.420668e-03	-5.213384e-03
29            	4.142229e-01	2.084488e-01	2.057740e-01	6.038148e-02	1.927389e-01	-1.323574e-01	1.625482e-01	1.337409e-03	5.624969e-04	-9.418021e-03	-4.146514e-03	-5.271507e-03
30            	4.127284e-01	2.070356e-01	2.056929e-01	6.239476e-02	1.924652e-01	-1.300704e-01	1.612678e-01	6.713432e-04	7.580038e-04	-9.059743e-03	-3.771868e-03	-5.287875e-03
31            	4.114724e-01	2.054934e-01	2.059790e-01	6.437170e-02	1.924556e-01	-1.280839e-01	1.602697e-01	-2.427907e-04	1.597062e-03	-7.540227e-03	-2.173051e-03	-5.367176e-03
32            	4.105921e-01	2.040939e-01	2.064983e-01	6.613844e-02	1.926184e-01	-1.264800e-01	1.595492e-01	-1.202219e-03	2.778390e-03	-5.489619e-03	3.358052e-05	-5.523199e-03
33            	4.101725e-01	2.029171e-01	2.072554e-01	6.742993e-02	1.928320e-01	-1.254020e-01	1.591170e-01	-2.169169e-03	3.951904e-03	-3.280030e-03	2.311889e-03	-5.591919e-03
34            	4.102358e-01	2.019241e-01	2.083118e-01	6.824075e-02	1.930822e-01	-1.248415e-01	1.589619e-01	-3.193852e-03	4.804726e-03	-1.171608e-03	4.218922e-03	-5.390529e-03
