# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	8.734470e-02	8.160920e-03	7	5.846450e-01	4.453730e-02	7	4.000590e-01	3.770630e-02	5	false	GAMG	1.000000e+00	5.847770e-03	5	true
2             	smoothSolver	3.849070e-02	3.800020e-03	7	3.838000e-01	3.588500e-02	7	1.640150e-01	1.322310e-02	7	false	GAMG	7.543620e-02	3.474410e-04	5	true
3             	smoothSolver	2.022520e-02	1.668600e-03	8	2.966060e-01	2.848940e-02	7	1.108910e-01	9.688280e-03	7	false	GAMG	5.183310e-02	5.068110e-04	4	true
4             	smoothSolver	1.367780e-02	1.171630e-03	8	2.366840e-01	2.186570e-02	7	1.000150e-01	8.903170e-03	7	false	GAMG	4.555240e-02	3.974850e-04	4	true
5             	smoothSolver	1.061680e-02	8.809600e-04	8	2.042760e-01	1.827290e-02	7	1.034000e-01	9.224130e-03	7	false	GAMG	4.102230e-02	3.415960e-04	4	true
6             	smoothSolver	8.502490e-03	6.813200e-04	8	1.830200e-01	1.621180e-02	7	1.091550e-01	9.791320e-03	7	false	GAMG	3.674340e-02	2.893460e-04	4	true
7             	smoothSolver	7.116770e-03	5.543730e-04	8	1.650720e-01	1.464110e-02	7	1.195120e-01	1.071420e-02	7	false	GAMG	3.281780e-02	2.389780e-04	4	true
8             	smoothSolver	6.114660e-03	4.807260e-04	8	1.468200e-01	1.298040e-02	7	1.308300e-01	1.174320e-02	7	false	GAMG	2.995960e-02	1.902390e-04	4	true
9             	smoothSolver	5.356960e-03	4.303530e-04	8	1.312400e-01	1.155240e-02	7	1.372400e-01	1.229390e-02	7	false	GAMG	2.777480e-02	1.536780e-04	4	true
10            	smoothSolver	4.782480e-03	3.919230e-04	8	1.186190e-01	1.038640e-02	7	1.222210e-01	1.097800e-02	7	false	GAMG	2.611870e-02	1.310480e-04	4	true
11            	smoothSolver	4.356690e-03	3.600080e-04	8	1.072810e-01	9.390170e-03	7	1.109270e-01	9.975710e-03	7	false	GAMG	2.500610e-02	1.223320e-04	4	true
12            	smoothSolver	4.058670e-03	3.345780e-04	8	9.701900e-02	8.543350e-03	7	1.058560e-01	9.589480e-03	7	false	GAMG	2.400150e-02	1.201950e-04	4	true
13            	smoothSolver	3.845140e-03	3.144270e-04	8	8.813270e-02	7.900560e-03	7	1.025540e-01	9.396290e-03	7	false	GAMG	2.338510e-02	1.212590e-04	4	true
14            	smoothSolver	3.684570e-03	3.005220e-04	8	8.117540e-02	7.410790e-03	7	9.740240e-02	9.032980e-03	7	false	GAMG	2.282710e-02	1.217610e-04	4	true
15            	smoothSolver	3.530330e-03	2.893960e-04	8	7.547030e-02	7.000840e-03	7	8.697630e-02	8.192830e-03	7	false	GAMG	2.226210e-02	1.214780e-04	4	true
16            	smoothSolver	3.361680e-03	2.756320e-04	8	7.031350e-02	6.572900e-03	7	7.849120e-02	7.397110e-03	7	false	GAMG	2.158460e-02	1.167820e-04	4	true
17            	smoothSolver	3.185270e-03	2.620720e-04	8	6.554030e-02	6.157050e-03	7	7.175320e-02	6.689420e-03	7	false	GAMG	2.076510e-02	1.078580e-04	4	true
18            	smoothSolver	3.012500e-03	2.479880e-04	8	6.150390e-02	5.731200e-03	7	6.600420e-02	6.101960e-03	7	false	GAMG	1.989190e-02	9.738020e-05	4	true
19            	smoothSolver	2.860410e-03	2.348810e-04	8	5.809180e-02	5.383730e-03	7	6.197460e-02	5.743020e-03	7	false	GAMG	1.919870e-02	9.237750e-05	4	true
20            	smoothSolver	2.730890e-03	2.241860e-04	8	5.545350e-02	5.127320e-03	7	5.951260e-02	5.537520e-03	7	false	GAMG	1.869290e-02	9.124900e-05	4	true
21            	smoothSolver	2.620790e-03	2.174400e-04	8	5.315410e-02	4.950490e-03	7	5.760240e-02	5.410480e-03	7	false	GAMG	1.809280e-02	9.093910e-05	4	true
22            	smoothSolver	2.518400e-03	2.126780e-04	8	5.115560e-02	4.848910e-03	7	5.555170e-02	5.283640e-03	7	false	GAMG	1.745230e-02	9.076080e-05	4	true
23            	smoothSolver	2.425190e-03	2.085360e-04	8	4.942420e-02	4.811450e-03	7	5.343200e-02	5.156360e-03	7	false	GAMG	1.682520e-02	8.711030e-05	4	true
24            	smoothSolver	2.344660e-03	2.036540e-04	8	4.814500e-02	4.762240e-03	7	5.149250e-02	5.028700e-03	7	false	GAMG	1.611710e-02	8.115190e-05	4	true
25            	smoothSolver	2.263360e-03	1.964370e-04	8	4.679240e-02	4.616790e-03	7	4.922830e-02	4.818220e-03	7	false	GAMG	1.546890e-02	7.508280e-05	4	true
